id_vente,date,client_id,produit,categorie,region,canal,quantite,prix_unitaire,remise_pct,montant_total
VNT00026,2024-04-05,CLI0159,Clavier mécanique,Périphériques,Hauts-de-France,En ligne,13,89.99,20,935.9
VNT00027,2024-01-12,CLI0119,Hub USB-C,Connectique,Auvergne-Rhône-Alpes,Magasin,15,49.99,5,712.36
VNT00028,2024-10-25,CLI0004,Souris sans fil,Périphériques,Grand Est,Revendeur,13,39.99,0,519.87
VNT00029,2024-02-22,CLI0197,Casque audio,Audio,Occitanie,Revendeur,7,129.99,0,909.93
VNT00030,2024-03-18,CLI0149,Hub USB-C,Connectique,Hauts-de-France,Magasin,7,49.99,10,314.94
VNT00031,2024-01-24,CLI0056,Souris sans fil,Périphériques,Normandie,B2B Direct,10,39.99,10,359.91
VNT00032,2024-01-28,CLI0011,Clavier mécanique,Périphériques,Provence-PACA,Magasin,4,89.99,20,287.97
VNT00033,2024-04-12,CLI0006,Hub USB-C,Connectique,Île-de-France,En ligne,6,49.99,10,269.95
VNT00034,2024-03-29,CLI0185,Tablette graphique,Création,Provence-PACA,En ligne,3,249.99,10,674.97
VNT00035,2024-03-22,CLI0071,Webcam HD,Vidéo,Île-de-France,B2B Direct,8,79.99,0,639.92
VNT00036,2024-12-08,CLI0097,Souris sans fil,Périphériques,Normandie,En ligne,5,39.99,5,189.95
VNT00037,2024-01-17,CLI0073,Hub USB-C,Connectique,Grand Est,Magasin,3,49.99,15,127.47
VNT00038,2024-07-10,CLI0135,Tablette graphique,Création,Bretagne,B2B Direct,3,249.99,0,749.97
VNT00039,2024-08-04,CLI0072,Casque audio,Audio,Bretagne,Magasin,14,129.99,20,1455.89
VNT00040,2024-06-13,CLI0103,Laptop Pro,Informatique,Grand Est,Revendeur,3,1299.99,0,3899.97
VNT00041,2024-12-06,CLI0091,Clavier mécanique,Périphériques,Provence-PACA,En ligne,9,89.99,0,809.91
VNT00042,2024-01-29,CLI0084,Tablette graphique,Création,Hauts-de-France,Revendeur,12,249.99,20,2399.9
VNT00043,2024-11-06,CLI0159,Écran 4K,Affichage,Hauts-de-France,Revendeur,7,449.99,10,2834.94
VNT00044,2024-09-06,CLI0056,Écran 4K,Affichage,Hauts-de-France,Revendeur,1,449.99,10,404.99
VNT00045,2024-07-30,CLI0115,Webcam HD,Vidéo,Grand Est,Magasin,5,79.99,15,339.96
VNT00046,2024-09-27,CLI0036,Casque audio,Audio,Bretagne,B2B Direct,14,129.99,5,1728.87
VNT00047,2024-01-20,CLI0151,Écran 4K,Affichage,Occitanie,Magasin,2,449.99,0,899.98
VNT00048,2024-12-29,CLI0083,Clavier mécanique,Périphériques,Île-de-France,B2B Direct,5,89.99,15,382.46
VNT00049,2024-10-20,CLI0087,Tablette graphique,Création,Île-de-France,Revendeur,4,249.99,0,999.96
VNT00050,2024-11-01,CLI0087,Écran 4K,Affichage,Auvergne-Rhône-Alpes,B2B Direct,9,449.99,10,3644.92
VNT00051,2024-08-01,CLI0192,Casque audio,Audio,Auvergne-Rhône-Alpes,En ligne,8,129.99,15,883.93
VNT00052,2024-09-22,CLI0133,Hub USB-C,Connectique,Occitanie,Revendeur,6,49.99,5,284.94
VNT00053,2024-02-01,CLI0191,Tablette graphique,Création,Hauts-de-France,B2B Direct,10,249.99,20,1999.92
VNT00054,2024-02-18,CLI0005,Écran 4K,Affichage,Auvergne-Rhône-Alpes,B2B Direct,1,449.99,5,427.49
VNT00055,2024-07-14,CLI0148,Tablette graphique,Création,Provence-PACA,Revendeur,15,249.99,10,3374.87
VNT00056,2024-11-15,CLI0087,Disque SSD 1TB,Stockage,Occitanie,Magasin,6,99.99,0,599.94
VNT00057,2024-06-03,CLI0180,Clavier mécanique,Périphériques,Provence-PACA,En ligne,5,89.99,0,449.95
VNT00058,2024-10-12,CLI0189,Casque audio,Audio,Bretagne,B2B Direct,11,129.99,20,1143.91
VNT00059,2024-02-19,CLI0190,Casque audio,Audio,Bretagne,B2B Direct,2,129.99,0,259.98
VNT00060,2024-10-03,CLI0112,Tablette graphique,Création,Île-de-France,Magasin,14,249.99,15,2974.88
VNT00061,2024-06-24,CLI0135,Casque audio,Audio,Provence-PACA,Magasin,9,129.99,5,1111.41
VNT00062,2024-05-27,CLI0123,Clavier mécanique,Périphériques,Auvergne-Rhône-Alpes,Magasin,12,89.99,10,971.89
VNT00063,2024-02-15,CLI0148,Disque SSD 1TB,Stockage,Île-de-France,Revendeur,3,99.99,15,254.97
VNT00064,2024-02-04,CLI0023,Disque SSD 1TB,Stockage,Grand Est,Revendeur,11,99.99,15,934.91
VNT00065,2024-10-29,CLI0015,Casque audio,Audio,Bretagne,B2B Direct,3,129.99,0,389.97
VNT00066,2024-07-19,CLI0033,Casque audio,Audio,Occitanie,En ligne,13,129.99,10,1520.88
VNT00067,2024-04-13,CLI0028,Tablette graphique,Création,Bretagne,Magasin,1,249.99,10,224.99
VNT00068,2024-01-23,CLI0168,Webcam HD,Vidéo,Normandie,Magasin,12,79.99,0,959.88
VNT00069,2024-06-22,CLI0132,Souris sans fil,Périphériques,Auvergne-Rhône-Alpes,En ligne,9,39.99,0,359.91
VNT00070,2024-08-03,CLI0018,Clavier mécanique,Périphériques,Provence-PACA,Magasin,1,89.99,15,76.49
VNT00071,2024-06-03,CLI0093,Écran 4K,Affichage,Île-de-France,Magasin,15,449.99,20,5399.88
VNT00072,2024-10-20,CLI0087,Hub USB-C,Connectique,Provence-PACA,B2B Direct,7,49.99,20,279.94
VNT00073,2024-10-26,CLI0199,Disque SSD 1TB,Stockage,Île-de-France,En ligne,15,99.99,20,1199.88
VNT00074,2024-07-08,CLI0140,Imprimante laser,Impression,Auvergne-Rhône-Alpes,Revendeur,12,349.99,10,3779.89
VNT00075,2024-11-26,CLI0053,Souris sans fil,Périphériques,Hauts-de-France,Revendeur,3,39.99,10,107.97
VNT00076,2024-07-04,CLI0145,Souris sans fil,Périphériques,Bretagne,En ligne,3,39.99,5,113.97
VNT00077,2024-09-08,CLI0160,Clavier mécanique,Périphériques,Hauts-de-France,B2B Direct,6,89.99,15,458.95
VNT00078,2024-01-21,CLI0042,Imprimante laser,Impression,Auvergne-Rhône-Alpes,Revendeur,2,349.99,15,594.98
VNT00079,2024-12-12,CLI0018,Disque SSD 1TB,Stockage,Bretagne,Revendeur,15,99.99,10,1349.87
VNT00080,2024-02-26,CLI0126,Tablette graphique,Création,Grand Est,En ligne,12,249.99,20,2399.9
VNT00081,2024-08-21,CLI0175,Hub USB-C,Connectique,Île-de-France,B2B Direct,14,49.99,0,699.86
VNT00082,2024-12-05,CLI0023,Webcam HD,Vidéo,Hauts-de-France,B2B Direct,14,79.99,5,1063.87
VNT00083,2024-08-19,CLI0136,Souris sans fil,Périphériques,Provence-PACA,B2B Direct,14,39.99,20,447.89
VNT00084,2024-07-05,CLI0189,Tablette graphique,Création,Auvergne-Rhône-Alpes,Revendeur,10,249.99,15,2124.91
VNT00085,2024-05-16,CLI0162,Casque audio,Audio,Normandie,En ligne,5,129.99,0,649.95
VNT00086,2024-12-24,CLI0045,Écran 4K,Affichage,Bretagne,Revendeur,8,449.99,0,3599.92
VNT00087,2024-11-08,CLI0166,Imprimante laser,Impression,Occitanie,B2B Direct,6,349.99,15,1784.95
VNT00088,2024-05-06,CLI0150,Disque SSD 1TB,Stockage,Occitanie,B2B Direct,5,99.99,10,449.95
VNT00089,2024-04-21,CLI0165,Tablette graphique,Création,Bretagne,Revendeur,4,249.99,15,849.97
VNT00090,2024-07-18,CLI0189,Casque audio,Audio,Grand Est,Magasin,11,129.99,20,1143.91
VNT00091,2024-12-14,CLI0064,Disque SSD 1TB,Stockage,Occitanie,En ligne,5,99.99,20,399.96
VNT00092,2024-08-31,CLI0050,Webcam HD,Vidéo,Provence-PACA,En ligne,3,79.99,15,203.97
VNT00093,2024-03-07,CLI0058,Clavier mécanique,Périphériques,Hauts-de-France,B2B Direct,11,89.99,15,841.41
VNT00094,2024-12-30,CLI0146,Imprimante laser,Impression,Occitanie,B2B Direct,1,349.99,15,297.49
VNT00095,2024-04-08,CLI0120,Webcam HD,Vidéo,Bretagne,Magasin,12,79.99,20,767.9
VNT00096,2024-09-11,CLI0075,Imprimante laser,Impression,Grand Est,Revendeur,13,349.99,15,3867.39
VNT00097,2024-09-06,CLI0109,Imprimante laser,Impression,Normandie,En ligne,12,349.99,20,3359.9
VNT00098,2024-02-20,CLI0078,Clavier mécanique,Périphériques,Auvergne-Rhône-Alpes,En ligne,14,89.99,15,1070.88
VNT00099,2024-05-06,CLI0021,Tablette graphique,Création,Normandie,Revendeur,6,249.99,5,1424.94
VNT00100,2024-10-03,CLI0042,Casque audio,Audio,Bretagne,B2B Direct,1,129.99,15,110.49
VNT00101,2024-12-19,CLI0089,Clavier mécanique,Périphériques,Occitanie,Revendeur,9,89.99,10,728.92
VNT00102,2024-06-18,CLI0127,Casque audio,Audio,Normandie,En ligne,1,129.99,0,129.99
VNT00103,2024-10-30,CLI0030,Casque audio,Audio,Auvergne-Rhône-Alpes,Revendeur,13,129.99,0,1689.87
VNT00104,2024-10-01,CLI0152,Tablette graphique,Création,Hauts-de-France,B2B Direct,3,249.99,20,599.98
VNT00105,2024-12-06,CLI0122,Souris sans fil,Périphériques,Provence-PACA,En ligne,5,39.99,0,199.95
VNT00106,2024-03-06,CLI0120,Webcam HD,Vidéo,Île-de-France,B2B Direct,13,79.99,20,831.9
VNT00107,2024-12-29,CLI0178,Disque SSD 1TB,Stockage,Occitanie,Magasin,7,99.99,15,594.94
VNT00108,2024-06-08,CLI0191,Hub USB-C,Connectique,Provence-PACA,En ligne,6,49.99,20,239.95
VNT00109,2024-12-30,CLI0082,Souris sans fil,Périphériques,Bretagne,Revendeur,11,39.99,10,395.9
VNT00110,2024-12-03,CLI0147,Webcam HD,Vidéo,Normandie,B2B Direct,15,79.99,5,1139.86
VNT00111,2024-10-20,CLI0175,Hub USB-C,Connectique,Provence-PACA,En ligne,8,49.99,10,359.93
VNT00112,2024-10-28,CLI0097,Clavier mécanique,Périphériques,Hauts-de-France,En ligne,2,89.99,15,152.98
VNT00113,2024-08-10,CLI0065,Casque audio,Audio,Île-de-France,B2B Direct,7,129.99,10,818.94
VNT00114,2024-05-06,CLI0028,Disque SSD 1TB,Stockage,Grand Est,B2B Direct,14,99.99,0,1399.86
VNT00115,2024-10-28,CLI0153,Tablette graphique,Création,Provence-PACA,En ligne,8,249.99,10,1799.93
VNT00116,2024-07-22,CLI0069,Écran 4K,Affichage,Bretagne,B2B Direct,15,449.99,5,6412.36
VNT00117,2024-07-28,CLI0146,Souris sans fil,Périphériques,Auvergne-Rhône-Alpes,B2B Direct,8,39.99,10,287.93
VNT00118,2024-02-08,CLI0082,Écran 4K,Affichage,Grand Est,En ligne,9,449.99,0,4049.91
VNT00119,2024-11-23,CLI0190,Clavier mécanique,Périphériques,Hauts-de-France,En ligne,7,89.99,5,598.43
VNT00120,2024-02-28,CLI0200,Hub USB-C,Connectique,Île-de-France,Revendeur,8,49.99,10,359.93
VNT00121,2024-09-15,CLI0071,Clavier mécanique,Périphériques,Occitanie,Magasin,8,89.99,10,647.93
VNT00122,2024-02-06,CLI0194,Disque SSD 1TB,Stockage,Auvergne-Rhône-Alpes,B2B Direct,10,99.99,0,999.9
VNT00123,2024-12-07,CLI0039,Laptop Pro,Informatique,Île-de-France,B2B Direct,7,1299.99,0,9099.93
VNT00124,2024-07-23,CLI0189,Casque audio,Audio,Hauts-de-France,En ligne,10,129.99,20,1039.92
VNT00125,2024-10-24,CLI0180,Casque audio,Audio,Provence-PACA,Magasin,14,129.99,20,1455.89
VNT00126,2024-11-14,CLI0178,Écran 4K,Affichage,Provence-PACA,Magasin,2,449.99,0,899.98
VNT00127,2024-01-14,CLI0090,Tablette graphique,Création,Hauts-de-France,Magasin,11,249.99,15,2337.41
VNT00128,2024-11-27,CLI0039,Souris sans fil,Périphériques,Hauts-de-France,En ligne,14,39.99,15,475.88
VNT00129,2024-04-09,CLI0093,Casque audio,Audio,Hauts-de-France,Revendeur,15,129.99,5,1852.36
VNT00130,2024-08-06,CLI0122,Hub USB-C,Connectique,Auvergne-Rhône-Alpes,En ligne,11,49.99,10,494.9
VNT00131,2024-12-09,CLI0144,Webcam HD,Vidéo,Occitanie,B2B Direct,7,79.99,20,447.94
VNT00132,2024-07-15,CLI0069,Laptop Pro,Informatique,Provence-PACA,B2B Direct,9,1299.99,20,9359.93
VNT00133,2024-06-08,CLI0034,Clavier mécanique,Périphériques,Occitanie,Magasin,8,89.99,20,575.94
VNT00134,2024-08-23,CLI0199,Clavier mécanique,Périphériques,Auvergne-Rhône-Alpes,En ligne,15,89.99,20,1079.88
VNT00135,2024-07-19,CLI0065,Écran 4K,Affichage,Bretagne,Magasin,6,449.99,20,2159.95
VNT00136,2024-08-12,CLI0171,Imprimante laser,Impression,Occitanie,Magasin,2,349.99,15,594.98
VNT00137,2024-05-29,CLI0030,Tablette graphique,Création,Hauts-de-France,B2B Direct,9,249.99,15,1912.42
VNT00138,2024-12-20,CLI0005,Webcam HD,Vidéo,Île-de-France,Revendeur,15,79.99,0,1199.85
VNT00139,2024-01-04,CLI0045,Hub USB-C,Connectique,Bretagne,En ligne,2,49.99,20,79.98
VNT00140,2024-06-02,CLI0087,Casque audio,Audio,Hauts-de-France,B2B Direct,8,129.99,5,987.92
VNT00141,2024-03-12,CLI0175,Hub USB-C,Connectique,Île-de-France,B2B Direct,6,49.99,5,284.94
VNT00142,2024-06-15,CLI0167,Hub USB-C,Connectique,Normandie,En ligne,2,49.99,5,94.98
VNT00143,2024-08-31,CLI0034,Webcam HD,Vidéo,Auvergne-Rhône-Alpes,B2B Direct,4,79.99,15,271.97
VNT00144,2024-03-05,CLI0010,Tablette graphique,Création,Occitanie,Magasin,13,249.99,0,3249.87
VNT00145,2024-01-29,CLI0039,Imprimante laser,Impression,Hauts-de-France,B2B Direct,14,349.99,20,3919.89
VNT00146,2024-04-05,CLI0049,Tablette graphique,Création,Grand Est,B2B Direct,4,249.99,5,949.96
VNT00147,2024-01-25,CLI0198,Disque SSD 1TB,Stockage,Île-de-France,Magasin,4,99.99,0,399.96
VNT00148,2024-11-22,CLI0039,Écran 4K,Affichage,Hauts-de-France,Magasin,11,449.99,20,3959.91
VNT00149,2024-07-07,CLI0163,Laptop Pro,Informatique,Hauts-de-France,Magasin,1,1299.99,15,1104.99
VNT00150,2024-02-02,CLI0084,Clavier mécanique,Périphériques,Hauts-de-France,Magasin,5,89.99,5,427.45
VNT00151,2024-04-11,CLI0092,Clavier mécanique,Périphériques,Provence-PACA,Revendeur,1,89.99,5,85.49
VNT00152,2024-05-24,CLI0135,Laptop Pro,Informatique,Hauts-de-France,Revendeur,14,1299.99,0,18199.86
VNT00153,2024-01-21,CLI0033,Laptop Pro,Informatique,Auvergne-Rhône-Alpes,Magasin,13,1299.99,0,16899.87
VNT00154,2024-01-02,CLI0035,Hub USB-C,Connectique,Hauts-de-France,B2B Direct,7,49.99,15,297.44
VNT00155,2024-10-05,CLI0088,Hub USB-C,Connectique,Bretagne,Magasin,3,49.99,15,127.47
VNT00156,2024-02-10,CLI0148,Hub USB-C,Connectique,Île-de-France,Revendeur,5,49.99,20,199.96
VNT00157,2024-10-30,CLI0015,Clavier mécanique,Périphériques,Île-de-France,En ligne,14,89.99,10,1133.87
VNT00158,2024-03-25,CLI0021,Souris sans fil,Périphériques,Grand Est,B2B Direct,13,39.99,10,467.88
VNT00159,2024-05-14,CLI0099,Disque SSD 1TB,Stockage,Auvergne-Rhône-Alpes,En ligne,6,99.99,5,569.94
VNT00160,2024-01-26,CLI0160,Tablette graphique,Création,Hauts-de-France,En ligne,13,249.99,15,2762.39
VNT00161,2024-07-19,CLI0045,Webcam HD,Vidéo,Auvergne-Rhône-Alpes,Revendeur,10,79.99,20,639.92
VNT00162,2024-07-25,CLI0121,Laptop Pro,Informatique,Provence-PACA,Revendeur,3,1299.99,5,3704.97
VNT00163,2024-07-27,CLI0084,Webcam HD,Vidéo,Île-de-France,Revendeur,13,79.99,15,883.89
VNT00164,2024-06-22,CLI0061,Webcam HD,Vidéo,Provence-PACA,B2B Direct,1,79.99,5,75.99
VNT00165,2024-06-01,CLI0101,Disque SSD 1TB,Stockage,Auvergne-Rhône-Alpes,Magasin,9,99.99,0,899.91
VNT00166,2024-05-16,CLI0189,Écran 4K,Affichage,Île-de-France,Revendeur,10,449.99,5,4274.9
VNT00167,2024-09-25,CLI0191,Imprimante laser,Impression,Hauts-de-France,B2B Direct,2,349.99,15,594.98
VNT00168,2024-08-11,CLI0116,Laptop Pro,Informatique,Île-de-France,Revendeur,15,1299.99,20,15599.88
VNT00169,2024-09-09,CLI0061,Imprimante laser,Impression,Normandie,Magasin,4,349.99,10,1259.96
VNT00170,2024-04-18,CLI0166,Écran 4K,Affichage,Bretagne,Revendeur,2,449.99,10,809.98
VNT00171,2024-05-01,CLI0114,Écran 4K,Affichage,Bretagne,Revendeur,14,449.99,5,5984.87
VNT00172,2024-03-03,CLI0059,Imprimante laser,Impression,Occitanie,B2B Direct,6,349.99,15,1784.95
VNT00173,2024-10-25,CLI0037,Tablette graphique,Création,Auvergne-Rhône-Alpes,Magasin,11,249.99,20,2199.91
VNT00174,2024-10-02,CLI0116,Laptop Pro,Informatique,Hauts-de-France,B2B Direct,14,1299.99,15,15469.88
VNT00175,2024-09-19,CLI0050,Disque SSD 1TB,Stockage,Normandie,En ligne,13,99.99,5,1234.88
VNT00176,2024-04-27,CLI0016,Tablette graphique,Création,Auvergne-Rhône-Alpes,B2B Direct,4,249.99,0,999.96
VNT00177,2024-10-13,CLI0095,Disque SSD 1TB,Stockage,Occitanie,En ligne,15,99.99,15,1274.87
VNT00178,2024-11-14,CLI0092,Hub USB-C,Connectique,Hauts-de-France,Magasin,4,49.99,10,179.96
VNT00179,2024-01-05,CLI0112,Souris sans fil,Périphériques,Bretagne,En ligne,10,39.99,0,399.9
VNT00180,2024-07-06,CLI0196,Tablette graphique,Création,Grand Est,En ligne,6,249.99,20,1199.95
VNT00181,2024-04-30,CLI0022,Disque SSD 1TB,Stockage,Île-de-France,Revendeur,6,99.99,15,509.95
VNT00182,2024-09-30,CLI0124,Imprimante laser,Impression,Occitanie,En ligne,6,349.99,20,1679.95
VNT00183,2024-07-18,CLI0176,Casque audio,Audio,Auvergne-Rhône-Alpes,B2B Direct,13,129.99,10,1520.88
VNT00184,2024-08-08,CLI0162,Clavier mécanique,Périphériques,Normandie,B2B Direct,11,89.99,20,791.91
VNT00185,2024-12-01,CLI0029,Imprimante laser,Impression,Provence-PACA,En ligne,7,349.99,10,2204.94
VNT00186,2024-08-02,CLI0048,Casque audio,Audio,Normandie,En ligne,9,129.99,15,994.42
VNT00187,2024-11-09,CLI0093,Souris sans fil,Périphériques,Île-de-France,Revendeur,14,39.99,5,531.87
VNT00188,2024-02-21,CLI0088,Webcam HD,Vidéo,Grand Est,En ligne,13,79.99,20,831.9
VNT00189,2024-07-25,CLI0187,Casque audio,Audio,Normandie,Magasin,8,129.99,20,831.94
VNT00190,2024-09-10,CLI0183,Écran 4K,Affichage,Normandie,Revendeur,9,449.99,20,3239.93
VNT00191,2024-10-06,CLI0009,Webcam HD,Vidéo,Grand Est,Magasin,11,79.99,5,835.9
VNT00192,2024-12-18,CLI0199,Laptop Pro,Informatique,Auvergne-Rhône-Alpes,B2B Direct,15,1299.99,10,17549.86
VNT00193,2024-01-03,CLI0196,Webcam HD,Vidéo,Grand Est,En ligne,8,79.99,5,607.92
VNT00194,2024-05-19,CLI0191,Laptop Pro,Informatique,Hauts-de-France,Magasin,2,1299.99,15,2209.98
VNT00195,2024-11-19,CLI0010,Écran 4K,Affichage,Île-de-France,B2B Direct,12,449.99,15,4589.9
VNT00196,2024-09-13,CLI0172,Hub USB-C,Connectique,Grand Est,B2B Direct,9,49.99,15,382.42
VNT00197,2024-09-09,CLI0165,Hub USB-C,Connectique,Île-de-France,B2B Direct,4,49.99,15,169.97
VNT00198,2024-12-17,CLI0071,Webcam HD,Vidéo,Île-de-France,En ligne,11,79.99,20,703.91
VNT00199,2024-12-17,CLI0158,Tablette graphique,Création,Bretagne,B2B Direct,12,249.99,10,2699.89
VNT00200,2024-11-04,CLI0114,Laptop Pro,Informatique,Grand Est,Magasin,8,1299.99,5,9879.92
VNT00201,2024-04-22,CLI0198,Tablette graphique,Création,Île-de-France,En ligne,11,249.99,10,2474.9
VNT00202,2024-08-28,CLI0166,Tablette graphique,Création,Grand Est,Revendeur,5,249.99,5,1187.45
VNT00203,2024-02-08,CLI0047,Laptop Pro,Informatique,Provence-PACA,B2B Direct,5,1299.99,20,5199.96
VNT00204,2024-08-24,CLI0134,Casque audio,Audio,Provence-PACA,B2B Direct,14,129.99,0,1819.86
VNT00205,2024-12-17,CLI0060,Hub USB-C,Connectique,Île-de-France,Revendeur,10,49.99,20,399.92
VNT00206,2024-06-20,CLI0162,Webcam HD,Vidéo,Bretagne,Revendeur,11,79.99,0,879.89
VNT00207,2024-02-09,CLI0013,Laptop Pro,Informatique,Hauts-de-France,En ligne,12,1299.99,10,14039.89
VNT00208,2024-01-16,CLI0089,Hub USB-C,Connectique,Provence-PACA,Magasin,13,49.99,20,519.9
VNT00209,2024-07-08,CLI0111,Hub USB-C,Connectique,Provence-PACA,Revendeur,14,49.99,0,699.86
VNT00210,2024-11-19,CLI0051,Hub USB-C,Connectique,Bretagne,B2B Direct,13,49.99,20,519.9
VNT00211,2024-06-06,CLI0048,Disque SSD 1TB,Stockage,Bretagne,Revendeur,9,99.99,15,764.92
VNT00212,2024-08-17,CLI0164,Webcam HD,Vidéo,Provence-PACA,Revendeur,8,79.99,10,575.93
VNT00213,2024-06-06,CLI0055,Imprimante laser,Impression,Bretagne,B2B Direct,13,349.99,0,4549.87
VNT00214,2024-04-14,CLI0189,Écran 4K,Affichage,Normandie,En ligne,1,449.99,10,404.99
VNT00215,2024-02-23,CLI0081,Souris sans fil,Périphériques,Provence-PACA,B2B Direct,11,39.99,20,351.91
VNT00216,2024-12-14,CLI0014,Écran 4K,Affichage,Normandie,Magasin,9,449.99,10,3644.92
VNT00217,2024-10-05,CLI0125,Hub USB-C,Connectique,Normandie,Revendeur,3,49.99,5,142.47
VNT00218,2024-06-09,CLI0025,Webcam HD,Vidéo,Normandie,Revendeur,11,79.99,0,879.89
VNT00219,2024-05-01,CLI0116,Imprimante laser,Impression,Auvergne-Rhône-Alpes,Revendeur,4,349.99,20,1119.97
VNT00220,2024-02-06,CLI0078,Clavier mécanique,Périphériques,Occitanie,En ligne,7,89.99,15,535.44
VNT00221,2024-11-14,CLI0107,Hub USB-C,Connectique,Grand Est,En ligne,3,49.99,0,149.97
VNT00222,2024-08-01,CLI0049,Clavier mécanique,Périphériques,Auvergne-Rhône-Alpes,Revendeur,13,89.99,0,1169.87
VNT00223,2024-04-11,CLI0047,Laptop Pro,Informatique,Hauts-de-France,B2B Direct,10,1299.99,10,11699.91
VNT00224,2024-06-23,CLI0196,Souris sans fil,Périphériques,Occitanie,Revendeur,8,39.99,0,319.92
VNT00225,2024-08-26,CLI0001,Webcam HD,Vidéo,Île-de-France,B2B Direct,15,79.99,20,959.88
VNT00226,2024-08-09,CLI0003,Clavier mécanique,Périphériques,Hauts-de-France,Magasin,2,89.99,5,170.98
VNT00227,2024-08-08,CLI0009,Laptop Pro,Informatique,Bretagne,En ligne,1,1299.99,5,1234.99
VNT00228,2024-06-15,CLI0033,Imprimante laser,Impression,Bretagne,B2B Direct,6,349.99,10,1889.95
VNT00229,2024-04-23,CLI0185,Souris sans fil,Périphériques,Occitanie,Magasin,1,39.99,15,33.99
VNT00230,2024-04-26,CLI0181,Souris sans fil,Périphériques,Occitanie,Magasin,12,39.99,20,383.9
VNT00231,2024-03-03,CLI0063,Souris sans fil,Périphériques,Normandie,En ligne,10,39.99,10,359.91
VNT00232,2024-06-30,CLI0144,Hub USB-C,Connectique,Île-de-France,En ligne,1,49.99,5,47.49
VNT00233,2024-01-15,CLI0069,Clavier mécanique,Périphériques,Provence-PACA,Magasin,4,89.99,5,341.96
VNT00234,2024-12-25,CLI0035,Webcam HD,Vidéo,Bretagne,En ligne,11,79.99,20,703.91
VNT00235,2024-09-30,CLI0049,Hub USB-C,Connectique,Provence-PACA,B2B Direct,13,49.99,0,649.87
VNT00236,2024-11-22,CLI0101,Hub USB-C,Connectique,Normandie,Revendeur,10,49.99,15,424.92
VNT00237,2024-08-08,CLI0056,Laptop Pro,Informatique,Grand Est,Magasin,1,1299.99,15,1104.99
VNT00238,2024-02-12,CLI0153,Disque SSD 1TB,Stockage,Occitanie,B2B Direct,6,99.99,10,539.95
VNT00239,2024-01-17,CLI0010,Clavier mécanique,Périphériques,Île-de-France,Magasin,11,89.99,10,890.9
